date,city,category,sales,order_id
2026-05-31,Paris,Électronique,120.50,1
2026-05-30,Lyon,Vêtements,45.00,2
2026-05-29,Marseille,Maison,89.99,3
2026-05-28,Toulouse,Beauté,15.75,4
2026-05-27,Paris,Vêtements,55.20,5
2026-05-26,Nice,Maison,130.00,6
2026-05-25,Paris,Électronique,200.00,7
2026-05-24,Lyon,Maison,75.30,8
2026-05-23,Marseille,Vêtements,22.10,9
2026-05-22,Toulouse,Électronique,99.99,10
2026-05-21,Nice,Beauté,12.00,11
2026-05-20,Paris,Maison,65.00,12
2026-05-19,Lyon,Électronique,140.20,13
2026-05-18,Marseille,Beauté,9.50,14
2026-05-17,Toulouse,Vêtements,30.00,15
2026-05-16,Paris,Électronique,85.00,16
2026-05-15,Nice,Vêtements,49.99,17
2026-05-14,Paris,Maison,120.00,18
2026-05-13,Lyon,Beauté,20.00,19
2026-05-12,Marseille,Électronique,160.00,20
